stop_id,stop_name,stop_lat,stop_lon,GEOID,NAMELSAD
101755,GUNTHER AV/E GUN HILL RD,40.865587,-73.83663,36005,Bronx County
101756,ALLERTON AV/WESTERVELT AV,40.865177,-73.839927,36005,Bronx County
101757,ALLERTON AV/EASTCHESTER RD,40.865249,-73.843225,36005,Bronx County
101758,ALLERTON AV/MORGAN AV,40.865275,-73.84520400000001,36005,Bronx County
101759,ALLERTON AV/FISH AV,40.865312,-73.847149,36005,Bronx County
101760,ALLERTON AV/WILSON AV,40.865403,-73.848955,36005,Bronx County
101761,ALLERTON AV/PEARSALL AV,40.865424,-73.851827,36005,Bronx County
101762,ALLERTON AV/HERING AV,40.865463,-73.854247,36005,Bronx County
101763,ALLERTON AV/LACONIA AV,40.865536,-73.856258,36005,Bronx County
101764,ALLERTON AV/HONE AV,40.86554,-73.858172,36005,Bronx County
101765,ALLERTON AV/WILLIAMSBRIDGE RD,40.865565999999994,-73.86024,36005,Bronx County
101766,ALLERTON AV/BOSTON RD,40.865584000000005,-73.861939,36005,Bronx County
101767,ALLERTON AV/MATTHEWS AV,40.865553999999996,-73.86298599999999,36005,Bronx County
101768,ALLERTON AV/HOLLAND AV,40.865501,-73.865827,36005,Bronx County
101769,ALLERTON AV/WHITE PLAINS RD,40.865505999999996,-73.867871,36005,Bronx County
101770,ALLERTON AV/BARKER AV,40.865457,-73.86961099999999,36005,Bronx County
101771,KAZIMIROFF BL/BOTANICAL GARDENS,40.86688,-73.880788,36005,Bronx County
101772,BEDFORD PK BL/WEBSTER AV,40.86787,-73.88401999999999,36005,Bronx County
101773,BEDFORD PK BL/MARION AV,40.869079,-73.884712,36005,Bronx County
101774,BEDFORD PK BL/BRIGGS AV,40.870705,-73.886044,36005,Bronx County
103279,BARTOW AV/CO-OP CITY BL,40.86958,-73.82589200000001,36005,Bronx County
103450,GOULDEN AV/BEDFORD PK BL,40.875776,-73.89385899999999,36005,Bronx County
103518,LODOVICK AV/ALLERTON AV,40.865190000000005,-73.83703299999999,36005,Bronx County
103538,BARTOW AV/REAR OF PATHMARK,40.869269,-73.824034,36005,Bronx County
103641,BARTOW AV/EDSON AV,40.868117,-73.833907,36005,Bronx County
103676,HUTCHINSON RVR PY E/BOLLER AV,40.863045,-73.825716,36005,Bronx County
104087,BEDFORD PK/JEROME AV,40.873836,-73.890148,36005,Bronx County
104088,BEDFORD PK/PAUL AV,40.874456,-73.891499,36005,Bronx County
803061,W 205 ST/PAUL AV,40.877071,-73.890065,36005,Bronx County
101751,BAYCHESTER AV/DONIZETTI PL,40.876298999999996,-73.833911,36005,Bronx County
101752,BAYCHESTER AV/ALDRICH ST,40.869901,-73.83250799999999,36005,Bronx County
100017,PAUL AV/W 205 ST,40.876836,-73.88971,36005,Bronx County
100018,PAUL AV/W MOSHOLU PY S,40.880392,-73.886081,36005,Bronx County
100573,E KINGSBRIDGE RD/MORRIS AV,40.866985,-73.896153,36005,Bronx County
100652,BAINBRIDGE AV/RESERVOIR OVAL E,40.877311,-73.879677,36005,Bronx County
101687,JEROME AV/E 196 ST,40.869163,-73.896059,36005,Bronx County
101688,JEROME AV/MORRIS AV,40.870974,-73.89389200000001,36005,Bronx County
101713,BARTOW AV/GUNTHER AV,40.866986,-73.837144,36005,Bronx County
101714,BARTOW AV/ELY AV,40.86788,-73.83440300000001,36005,Bronx County
101715,BARTOW AV/EDSON AV,40.868251,-73.83296999999999,36005,Bronx County
101729,HUTCHINSON RVR PKY/EINSTEIN LOOP N,40.865445,-73.823763,36005,Bronx County
101730,HUTCHINSON RVR PKY/EINSTEIN LOOP S,40.864523999999996,-73.82459300000001,36005,Bronx County
101731,HUNTER AV/BOLLER AV,40.862332,-73.825571,36005,Bronx County
101732,ERSKINE PL/EARHART LA,40.860826,-73.82266899999999,36005,Bronx County
101740,ASCH LOOP/BARTOW AV,40.869391,-73.830561,36005,Bronx County
101742,ASCH LOOP/CO-OP CITY BL,40.870438,-73.826121,36005,Bronx County
101861,E GUN HILL RD/TRYON AV,40.880021,-73.87641500000001,36005,Bronx County
101862,E GUN HILL RD/PUTNAM PL,40.879376,-73.875047,36005,Bronx County
101863,E GUN HILL RD/HULL AV,40.878753,-73.873097,36005,Bronx County
101865,E GUN HILL RD/OLINVILLE AV,40.877767,-73.868186,36005,Bronx County
101866,E GUN HILL RD/WHITE PLAINS RD,40.877136,-73.865806,36005,Bronx County
